Question,Answer
The Part 1 for Windows links to a video for Mac: The link for the Part 1 video for Windows links to a video for Mac,<md>Thanks for catching that! I got it fixed!</md>
"GCC Compiler PATH Not Working, is it ok to use VS2022?: I tried to configure the gcc compiler with Visual Studio Code in Windows. However, it fails to work because it requires me to add it to PATH. Yet, it still does not work after adding it to PATH. I located its installation folder and reconfigured, still does not work. Is it ok for me to use something like Visual Studio 2022? Thanks.","<md>Please follow the posted videos to make it work (easier to follow for this lab and future labs instruction).

Salma: I am afraid future instructions for the labs may not work with VS2022. Please post what issues do you get here so we can solve it. If we can't resolve it through messages, please visit your practical session. A lab TA will be able to resolve the error.</md>
<md>Please follow the posted videos to make it work (easier to follow for this lab and future labs instruction). if you have difficulties to install gcc and you have already installed vs2022, it should also be good enough for this course. 

Salma: I am afraid future instructions for the labs may not work with VS2022. Please post what issues do you get here so we can solve it. If we can't resolve it through messages, please visit your practical session. A lab TA will be able to resolve the error.</md>
Please follow the posted videos to make it work (easier to follow for this lab and future labs instruction). if you have difficulties to install gcc and you have already installed vs2022, it should also be good enough for this course. However, we will test your code using gcc as the compiler on a Linux machine. If there is any difference between gcc and vs windows compiler, it is your responsibility to check if the behavior of your code is the same."
2.2 Step 4 Command doesn&#39;t match Command on the Website: The command on the doc provided is &#34;pacman -S --needed base-devel mingw-w64-x86_64-toolchain&#34; while the command on the website link is &#34;pacman -S --needed base-devel mingw-w64-ucrt-x86_64-toolchain&#34;. Using the command on the doc didn&#39;t allow me to enter the &#34;gdb --version&#34; command later.,"True! I fixed the handout now to reflect the correct command. <div><br /></div><div>Sorry for any inconvenience this caused! </div>
I think you need to add it to PATH in order for command prompt to recognize it as a command."
"Lab0 Problem: <p>When I run &#34;∼aps105i/public/exercise 0 hello&#34; and &#34;∼aps105i/public/submit 0&#34;, I got&#34;bash: ∼aps105i/public/exercise: No such file or directory&#34; and &#34;bash: ∼aps105i/public/submit: No such file or directory&#34;. Everything before that works fine. What should I do?</p>
<p></p>
<p>Thanks.</p>","<p>I just tried to run the exercise script. It is working.</p>
<p>Please check if you are in ecf environment. (Either use any physical ECF machine or remotely connect to a ECF machine)</p>
<p></p>
<p>If you think something else is wrong, please post followup question with a screenshot to help us understand.</p>
<p>I just tried to run the exercise script. It is working.</p>
<p>Please check if you are in ecf environment. (Either use any physical ECF machine or remotely connect to a ECF machine)</p>
<p>I just tried to run the exercise script. It is working.</p>
<p>Please check if you are in ecf environment. (Either use machine whiin ECF or remotely connect to ECF machine)</p>
<p>I just tried to run the exercise script. It is working.</p>
<p>Please check if you are in ecf environment.</p>"
"Remote Connection VS: When I tried to connect remotely to ecf following the video posted. The window pops up said cannot establish connection to ecf. I&#39;ve tried several times and I am pretty sure my password is correct. Can anyone help?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7ukel46371t9%2F32818f01ecf2c401272d450ba6e7a13021515e4d839c12a2a48272133ddd09a1%2FScreenshot_2024-01-05_163428.png"" alt=""Screenshot_2024-01-05_163428.pngNaN"" width=""894"" height=""797"" />",Resolved in followup discussions 
"Plenary Lecture: The syllabus says that the plenary lecture takes place on Wednesday, however, I don&#39;t see it on my time table. I do see an additional practical session on Tuesday 5-6. Is this when it is supposed to take place?","<md>Yes. That one hour PRA is the plenary lecture.

Salma: Just fixed the typo in the PDF.</md>
Yes. That one hour PRA is the plenary lecture."
"lab 0: Why my actual output is Hello world. Is there anything wrong with my code? And I had already saved the file. <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7ul8cpbly4hi%2Ffbde21f93c30d977c119f01ab9544cf6d9e4116d1ba1b2f57ca7429e0f314af2%2Fimage.png"" alt=""image.pngNaN"" />","You need to compile your code, not just saving it. Recompile the code means you need to run the following command after you save your code:<div><br /></div><div>gcc hello.c -o hello</div>"
"Office Hours: <p>Will there be office hours posted anytime soon for this class?</p>
<p></p>","The office hours are posted on the main page of the course website. <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm0w6sz9wqg54e%2Ff327a7da67d2c7306fd99654b3c5aee879c05ac8517240d59cc21b319a9bf710%2Fimage.png"" alt=""image.png"" width=""307"" height=""396"" />"
"lab0: <p>why am I unable to compile my code? nothing shows up when I hit compile</p>
<p></p>
<p>GOT IT</p>",<md>Glad you fixed the issue!</md>
"Plenary Lecture vs 2h PRA: I understand that the PRA on Tuesdays is the plenary lecture, starting on week 2. However, my schedule also has a 2-hour practical scheduled on Wednesdays. Is this separate from the plenary lecture, and what week will it begin? Thank you!","This was in the announcement tab! <div><img src=""https://piazza.com/redirect/s3?bucket=uploads&amp;prefix=attach%2Flq1r9f49qpr3p%2Fllyn3ipyfn37ep%2Frllpvjbaxedg%2Fpublic_2024_01_07.jpeg"" /><p></p></div>
This was in the Announcement Details!<div><img src=""https://piazza.com/redirect/s3?bucket=uploads&amp;prefix=attach%2Flq1r9f49qpr3p%2Fllyn3ipyfn37ep%2Frllpvjbaxedg%2Fpublic_2024_01_07.jpeg"" /><p></p></div>"
"Entering Password for remote connection: <p>I am currently trying to connect to ECF remotely using MSYS2 UCRT64. While the the command window displayed the prompt for my password as expected, it is not detecting my keyboard input. Am I missing a step, or are others also experiencing the same problem?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7ukyklcmy3k9%2F8eba1cd631e8df9b322a2a86a11981481d5e71702eb62e1a97a2b1450cf17d81%2FScreenshot_2024-01-07_145111.png"" width=""419"" height=""146"" alt="""" /></p>","<md>Any password input to the terminal will not be shown as asterisks or dots. It won't give you any clue that you are typing, but it is accepting your input. Trust that.</md>"
