Question,Answer
"Q01 Error Message: <p>When I try submitting to Marmoset I get the error message:</p>
<p></p>
<p>Request failed: Cannot find project with name a0q1-piazza in course CS136 Winter 2024</p>","I think the marmoset is not opened yet...;3
<md>@18</md>"
"CS136 website error message: Hey guys, I was wondering if anyone could help me out. I&#39;m having trouble accessing the website for CS136 on my laptop. It&#39;s strange because I can get to it without any issues on my ipad, but not on my laptop using the same website https://online.cs.uwaterloo.ca/ Does anyone have any advice on how I can fix this?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fljn2jmijgxg5bk%2Ff91caa7f94c935abda473b5b21559299d728109339db0138a6fe8628ed78d08f%2Fimage.png"" alt=""image.pngNaN"" />",I used another browser and it worked
"No &#34;fake&#34; assignment found on MarkUs: <p>Hi there, </p>
<p></p>
<p>For Assignment A00 Q05: Retrieving feedback from MarkUs, the &#34;fake&#34; assignment DNE.</p>",<md>Should be there now.</md>
"The first question on Piazza: I attempted to make my first C program using VSCode, could anyone tell me why my program isn&#39;t giving me anything?<a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl66pr4f64oe3ti%2Fb9709b2d30ef2a20fcd4998be2aa5c30403d64862e6a6b2375835e77871720db%2FScreenshot_2024-01-09_at_3.14.31_PM.png"" target=""_blank"" rel=""noopener noreferrer"">Screenshot_2024-01-09_at_3.14.31_PM.png</a>","Try downloading the extension - Code Runner.<br /><br /><br />This may be weird at first but honestly try using he sandbox found on openedx, its def faster coz you are not compiling anything on your end and will work on all devices, I am sure the instructors want us to use that for not at least
Try downloading the extension - Code Runner.
Try downloading extension Code Runner.
Download Code Runner."
Marmoset error: Cannot find project with name a0q1-piazza in course CS136 Winter 2024: Unable to submit secret code this error is coming up. Please help this is a0 first question.,"Yeah same issue here... <a href=""/class/lr5ecl50k5u23j/post/13"" target=""_blank"" rel=""noopener noreferrer"">https://piazza.com/class/lr5ecl50k5u23j/post/13</a><br /><br />Instructor said it is already opened but there is still nothing on marmoset.
Yeah same issue here... https://piazza.com/class/lr5ecl50k5u23j/post/13
<md>Sorry about that, A0 is released now!</md>"
what is the c magic number?: ,Take your time and read the question.
"Q03 CodeTimedOut: I did as the comments in the sandbox said, but when I press [Run Code] I get the error: &#34;CodeTimedOut - Your script took too long to run&#34; instead of the C magic number. Is this to be expected or did I do something wrong?","In the assignment, it says &#34;<em>In Stdin to the right of this window, type in your student number&#34;</em>, did you input your student number in Stdin?"
is there a course outline?: ,"<a href=""https://outline.uwaterloo.ca/view/nggpfd"">Course Outline - Elementary Algorithm Design and Data Abstraction (uwaterloo.ca)</a>
There is class schedule in edX. And you could also check the <a href=""https://outline.uwaterloo.ca/view/nggpfd"" target=""_blank"" rel=""noopener noreferrer"">course outline</a> here where is mentioned above by other student."
"A1 not available?: <p dir=""ltr""><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwalxbkor2xk%2Fb4e5b22f6351061a692cf6e8f229769b4df50352244652d4258b24156d772c6a%2FScreenshot_2024-01-09_at_7.43.12_PM.png"" alt=""Screenshot_2024-01-09_at_7.43.12_PM.pngNaN"" width=""1433"" height=""594"" /></p>
<p dir=""ltr"">This is all I can see on my edx. Cannot seem to locate A1. (I have completed A0 entirely)</p>","Ok, but did the instructor say they opened A1?
Just to confirm A1 is not released yet."
A00 Q04: I/O Testing in edX: I created the primes files and the test are passing but when submitting to marmoset it is coming did not compile. ,"I think one of the reason it did not compile would be that you name the file wrong.
I can see there are two error messages, both of them indicate there are missing files. Could you check the file name? Please also make sure you have both .in- and .expect-files! e.g a.in a.expect. "
"Tutorials Cancelled?: <p>Hi,</p>
<p></p>
<p>I saw an email saying that all the tutorials were cancelled. Is that true?<br /><br /></p>
<p>Thanks!</p>","Yes I think so, it’s no longer on our schedule too.
There is no tutorial for CS136 but there will be office hours and you may bring your questions there once the full schedule for office hours comes out.
There is no tutorial for CS136."
a00 q06-04 No tutorials so which TV celebrity was quoted?: Since tutorials were cancelled for cs 136 what should we answer for which TV celebrity was quoted or how should we get that information?,"<md>This is no longer part of the University Tutorial on Plagiarism. The correct answer would have been ""Oprah Winfrey"". We have updated the question accordingly. Sorry about the confusion!</md>
@25_f2"
"a00 q07 downloaded Teams on desktop but received error message on login: I downloaded Microsoft Teams for Work and School, but received the following error message. I tried switching back to &#34;classic teams&#34; but it didn&#39;t allow me to log in with my student account there and said it was only for personal Microsoft accounts that weren&#39;t affiliated with organizations <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8fod1ea4y5%2Ff95c3c0d70ec8ad5cdd78c8da0c93b8364e8a2bac00ce5271414e74ee376bfd3%2Fimage.png"" alt=""image.pngNaN"" />","<p>Edit: Could you post the warning message page after you use your student account to log in here?</p>
<p>Edit: When you log in with your student account, were you redirected to the log in page for any waterloo related website? The one that pops up if you trying to log in to quest or learn.</p>
Edit: Could you post the warning message page after you use your student account to log in here?
<p>Please select &#34;Switch to classic Teams&#34; then you should be fine.</p>
<p>Edit: Please download the (work or School) version of team.</p>
Please select &#34;Switch to classic Teams&#34; then you should be fine."
"a00 q07: I genuinely have no idea what to do, I&#39;ve tried every combination of the three words in the image, with and without the extra line at the bottom, and also including having all 3 words instead of just one individually. Is there some specific formatting or trick I&#39;m missing?",<md>Make sure you keep the case and copy all the words you see.</md>
"Assignment 9 Due Date: All of the assignments are due on Fridays except for A9 which is due on Monday, April 8. Is this supposed to be Friday Apr 5th or is the April 8 due date correct?","April 8th is the correct date. The last day of class is on April 8th, some classes will choose to put the final assignment due date on the last day to give students more time. If there are any changes to the A9 due date you will be informed."
"Code from markus doesn&#39;t work: I copy pasted the code exactly, no extra space and 1 extra line as specified, and it just isnt working.",I had the same problem. Turned out I was using my student number when I should have been using my student ID.
"iClicker missing from WStore: <p>My previous course last semester did not require an iClicker subscription. When accessing this link on the CS136 website, through</p>
<p>Course&gt;Information&gt;General&gt;iClicker, the iClicker subscription does not exist on WStore. (the page itself just does not exist)</p>
<p></p>
<p>Should I wait for the subscription to be added to the WStore or will I need to purchase it (today?) directly from iClicker for participation?</p>","<a href=""https://wstore.uwaterloo.ca/catalogsearch/result/?q=&#43;iclicker&#43;subscription"" target=""_blank"" rel=""noopener noreferrer"">https://wstore.uwaterloo.ca/catalogsearch/result/?q=&#43;iclicker&#43;subscription</a><br />Is this what you need?<br /><br />I think you can also purchase it through app, which is a bit more expensive than buying it thru WStore.
The edX webpage should now have a working link - sorry about that (the bookstore keeps changing the link every now and then)."
does cs136 have concept checks?: ,"<md>Update: No, there will not be concept checks. We used to have them in previous offerings, but we are replacing them with in-class clicker questions this term.</md>
<md>Edit: Got a different response from the instructor, stay tuned for an update...</md>
<md>Yes.</md>"
"A01 Q1a: For this question do I need to consider a negative integer?

for example -12 / 2 = -6","<md>If it doesn't tell you otherwise, then yes.</md>"
Style guide: not writing void for functions without parameters Is that ok: ,please follow the style guide.
"A01 Q01: Cannot understand the error I am getting and could not find from the error messages page: <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwc687qi95ve%2F9f782e2c21c00cc38553d4afd1f42a457b5b7cc71965367a1757ad7635d26fed%2Fimage.png"" alt=""image.png"" />",Read the error carefully where shows that thers is stack overflow. So please check your code whether include problems where will lead this situation.
"Question 2 - Rounding: <p>How are we supposed to round up the result of dividing if &#34;/&#34; always rounds down? Are we allowed to use round()?</p>
<p></p>
<p>Thank you</p>","You could just add 1 to the rounded down result or you could use round()
You could just add 1 to the rounded down result or you could use round()
You could just add 1 to the rounded down result 
You could just add 1 to the rounded down result 
Per the assignment text &#34;The only provided mathematical function you will be allowed to use is abs&#34;. As suggested, there are ways to round manually without using the built in function."
why can i not submit to a1?: It says cannot find project name with a1q1a-divide in the course,"<md>We haven't released the dropbox yet on marmoset, it will be available soon

Edit: See @9 update on A1, marmoset dropbox is open.</md>
<md>We haven't released the dropbox yet on marmoset, it will be available soon

Edit: See @9 update on A1</md>
<md>We haven't released the dropbox yet on marmoset, it will be available soon</md>"
