Question,Answer
"Quizzes &amp; Lecture Schedule: <p>Hello Teaching Team,</p>
<p></p>
<p>Is the &#34;short check-in in the form of a Quercus quiz before each lecture&#34; the same as the &#34;Pre-Class Essential Check-in&#34; in the Lecture Schedule? </p>
<p></p>
<p>Will the full Lecture Schedule ever be released? I would think some of us would like to study ahead, and the full Lecture Schedule would be helpful as we would know the suggestion practice problems from the textbook for the coming weeks. </p>
<p></p>
<p>Thank you!</p>","<p>Is the &#34;short check-in in the form of a Quercus quiz before each lecture&#34; the same as the &#34;Pre-Class Essential Check-in&#34; in the Lecture Schedule? </p>
<p></p>
<p>Yes. They are the same. </p>
<p></p>
<p>Will the full Lecture Schedule ever be released? I would think some of us would like to study ahead, and the full Lecture Schedule would be helpful as we would know the suggested practice problems from the textbook for the coming weeks. </p>
<p></p>
<p>You can find a tentative lecture schedule on the syllabus. We can release a complete list of suggested practice problems for your reference.  </p>
<p>Is the &#34;short check-in in the form of a Quercus quiz before each lecture&#34; the same as the &#34;Pre-Class Essential Check-in&#34; in the Lecture Schedule? </p>
<p></p>
<p>Yes. They are the same. </p>
<p></p>
<p>Will the full Lecture Schedule ever be released? I would think some of us would like to study ahead, and the full Lecture Schedule would be helpful as we would know the suggested practice problems from the textbook for the coming weeks. </p>
<p></p>
<p>You can find a tentative lecture schedule on teh syllabus. We can release a complete list of suggested practice problems for your reference.  </p>"
"Accessing Course OneNote: Hey, does anyone know where the link for our OneNote is? Thanks!","For Section 104, the link (and all other section-specific details) can be found here: <a href=""https://q.utoronto.ca/courses/325083/pages/section-104-details?module_item_id=5006018"">https://q.utoronto.ca/courses/325083/pages/section-104-details?module_item_id=5006018</a>"
"Choice of value for the first cell in a line for the tic-tac-toe activity: <p>During the first lecture, we created a system of coordinates to describe the position of a cell in a game of tic-tac-toe. We decided that the top-left cell would be (1, 1) in a two dimensional grid, (1,1,1) in three dimensinons and (1,1,1,1) in four dimensions. Is there a mathematical reason for choosing 1 as the first value? Why did we not choose 0?</p>
<p></p>
<p>(EDIT: Posted an english version of my original question)</p>","<p>Hi!</p>
<p></p>
<p>I&#39;m pretty sure it was just to create a convention (one is pretty intuitive for most people) for the class so we&#39;re all on the same page. I don&#39;t see a reason why any other starting value wouldn&#39;t work. </p>
<p></p>
<p>Hope this helps!</p>
<p></p>
<p>(Whoops, just noticed an instructor already answered this)</p>
<p>Hi!</p>
<p></p>
<p>I&#39;m pretty sure it was just to create a convention (one is pretty intuitive for most people) for the class so we&#39;re all on the same page. I don&#39;t see a reason why any other starting value wouldn&#39;t work. </p>
<p></p>
<p>Hope this helps!</p>"
"Learning standards mastery: In canvas for the first webwork assignment, the page states we are graded on how many LS we succesfully demonstrate. The page later says, &#34;<i>You successfully show LS1 if you answer <strong>7/10</strong> questions with LS1 attached correctly.&#34; </i>Does this mean we successfuly show LS1 if we get 7 of the questions right out of the ten on webwork?","10 of the questions are labeled with LS1. You can see the labels when you open the questions. To earn LS1, you don&#39;t need to get all 10 right, as long as you get 7 questions right, LS1 is considered demonstrated. "
"Week 0 lecture reflection unavailable: <p>Dear Profs,</p>
<p></p>
<p>I have noticed in the class module: LEC0103/0105 Material there is a link supposedly for lecture reflection. However, it only leads to the welcome page of the course with a notification that the link is no longer available. Would we still be required to complete the post-lecture reflection then? If so, where can we access it? </p>
<p></p>
<p>Thank you </p>",If you are in any lecture other than LEC0103 or LEC0105 the link will not open the reflection. Lecture reflections are section-specific. Your instructor will communicate the access to your reflection for your section with you. 
"PCE&#39;s: <p>Hi, I am wondering when and where the PCE&#39;s will be released - and if the first one is due this Monday, September 11th?</p>
<p></p>
<p>Thank you!</p>","I believe there are pre-class readings posted on the lecture schedule module. However, I have not yet seen any quizzes related to the readings. 
Your readings are up in the lecture schedule page, under the &#34;Lecture Schedule (all sections)&#34; module. "
"Textbook URL on Syllabus not working: Hello Instructors and Fellow MAT188 Students,<br /><br />I am currently going through all my different classes to purchase the required e-textbooks and have not been able to find the textbook for MAT188 (Linear Algebra With Applications, Otto Bretscher, 5th Edition). <a href=""https://www.campusebookstore.com/integration/AccessCodes/default.aspx?bookseller_id=96&amp;Course=STG&#43;MAT188&#43;LINEAR&#43;ALGEBRA&#43;WITH&#43;APPLICATIONS&amp;frame=YES&amp;t=permalink"" target=""_blank"" rel=""noopener noreferrer"">This </a>is the URL from the syllabus. All I get back on my end is &#39;Invalid  URL.&#39;<br /><br />Does the link work for anyone else? If not, would anyone happen to know where I could get a pdf/electronic version of the textbook?<br /><br /><br />Cheers,<br /><br />-VP","The textbook is available in UofT bookstore: <a href=""https://www.uoftbookstore.com/product/36462?quantity=1&amp;ccid=1832634&amp;itemid=36462"" target=""_blank"" rel=""noopener noreferrer"">https://www.uoftbookstore.com/product/36462?quantity=1&amp;ccid=1832634&amp;itemid=36462</a><br /><br />We upload the relevant sections of the textbook over the first two weeks while you explore your options. <br /><br /><br />
<p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7ukr5fky52wv%2F92011bb239af07a57440a2faf65273b186bbf05e9cb5455e42dc19987ae72276%2FMAT_188_textbook.pdf"" target=""_blank"" rel=""noopener noreferrer"">MAT_188_textbook.pdf</a></p>
<p>Here&#39;s a pdf version. Unless required by a third party software like persuall or tophat you don&#39;t have to buy the textbooks and can instead find them online.</p>"
"Problem Regarding WeBWorK 0: Problem 1 Submission: Hello Professor and/or TAs, <div><br /></div><div>I have encountered a weird problem when entering my answer. For example in question 1, I entered P as (-4, -1, -6), and when comparing to the correct answer, which seemed exactly the same numerical wise, WeBWorK spit out “Wrong Answer”. I don’t know if this has happened to anyone else or it is just a me problem. I have attached a screenshot of the page. Please let me know what I can do to fix this issue. </div><div><br /></div><div>Thanks, </div><div><br /></div><div>Roger Xue<img src=""https://piazza.com/redirect/s3?bucket=uploads&amp;prefix=attach%2Fllzfix7j8hc1jc%2Flm7ukswbyth316%2Frnudenoicbjp%2Fpublic_2023_09_09.png"" /><p></p></div>","Answer preview shows the answer you submitted, not the correct answer."
"I can&#39;t enter an Entry survey, anybody knows why?: <a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllyjztc6qhk3ax%2F2c1b46f20f4ef1c58e88951be6eec48d163cfc2176c960c39c993e5f385f24bc%2FScreenshot_2023-09-09_205254.png"" target=""_blank"" rel=""noopener noreferrer"">Screenshot_2023-09-09_205254.png</a>",Check it from your phone. Probably you have already done it. 
"WeBWorK0 Problem 8 Solution Issue: <p>This question says I&#39;m wrong even tho I&#39;m pretty sure I got it correct. </p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flly8i0zosls7hn%2F235f0d47911110aa923a889d0848047b0fcfcb3508b64d94fd0742415e8a7f9b%2Fimage.png"" alt=""image.pngNaN"" width=""833"" height=""563"" /></p>
<p><img src=""https://webworkq.act.utoronto.ca/wwtmp/325083_MAT188H1_F_LEC0101/images/f4013e76-c7bd-38b5-aa7f-2594b9293e41___59bab4ff-68dd-32c0-a26a-defdb083fd62.png"" /></p>
<p>sob</p>","I am having the same problem. 
Problem 8 has been removed from WW0, and will not affect LS mastery.
There seems to be a glitch in some versions of this problem. The team is working to fix it. "
