Question,Answer
Geometric representation: How to represent vectors in R^4or higher geometrically if asked,"<p>The geometric interpretation of a vector $$\begin{bmatrix} \\ v_1 \\ v_2 \\ v_3 \\ v_4 \end{bmatrix}$$ is a directed line segment from </p>
<p>the initial point O (the origin) to a terminal point whose coordinates are $$(v_1, v_2, v_3, v_4)$$ , and the same applies for</p>
<p>higher-dimensional vectors. However, you can&#39;t draw them.</p>
<p>The geometric interpretation of a vector $$\begin{bmatrix} \\ v_1 \\ v_2 \\ v_3 \\ v_4 \end{bmatrix}$$ is a directed line segment from </p>
<p>the initial point, typically the origin, to a terminal point whose coordinates are $$(v_1, v_2, v_3, v_4)$$ , and the same applies for</p>
<p>higher-dimensional vectors. However, you can&#39;t draw them.</p>
We don&#39;t! We use the geometrical representation in $$\mathbb{R}^2$$ and $$\mathbb{R}^3$$ to motivate results in $$\mathbb{R}^n$$, $$n\geq 4$$, which we prove completely algebraically. "
"Does anyone have a visual representation of this to make it easy to understand: <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdl9os1tne%2Faad14c2c216308c320d45b5dca2d31003ec18760371a10962a73b1028968368e%2Fimage.png"" alt=""image.pngNaN"" />","Stay tuned! I highly suspect your instructor will draw a picture which will make this all make sense. 
<p>No new picture but here is a picture I took from the course notes on Learn (:<br /><br /><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkrvaikp4js87pd%2F021661594e8256ed59e78f1e8537f02a3835b3863504844a6d05cc38d20286a8%2Fimage.png"" alt=""image.pngNaN"" /></p>
<p>The projection of $$\vec v$$ onto $$\vec w$$ is the vector you get if you literally &#34;squash&#34; $$\vec v$$ onto the line drawn out by $$\vec w$$. The key point here is that in the way that it is &#34;squashed&#34;, the angle where the red arrow meets the green arrow is always a right angle (this is what is being asked to shown).<br /><br />The perpendicular of $$\vec v$$ on $$\vec w$$ is the remainder of what&#39;s left, so that<br /><br /></p>
<p>$$\text{proj}_{\vec w}(\vec v) + \text{perp}_{\vec w}(\vec v) = \vec v$$</p>"
Piazza posts: Do we get bonus marks for asking/answering questions on piazza?<div><br /></div>,No.
Tutorial slot: Is the tutorial slot to be disregarded on weeks without a quiz?,Yes
"Written problems 1: <p>Are the written problems 1 posted yet? I can&#39;t seem to find them</p>
<p></p>
<p>Thanks!</p>",They have not been posted yet
"Mobius Practice: <p>Can anyone help explain what I am doing wrong?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwcd8tneb75a%2F9e666a8d05ff9b6a0062d5815f9da6b8d69fdb0754d9e545e13ad325d02becc9%2FScreenshot_2024-01-08_at_11.54.08_AM.png"" alt=""Screenshot_2024-01-08_at_11.54.08_AM.pngNaN"" width=""481"" height=""238"" /></p>","most likely need * between -7/5 and x
<p>Try what was suggested above.  (Luckily we aren&#39;t using Mobius for marks this semester.)</p>
<p></p>
<p>Update: There was a small hiccup in the code. It should work now. Let us know if it doesn&#39;t!</p>
Try what was suggested above.  (Luckily we aren&#39;t using Mobius for marks this semester.)"
"Due dates for assignments: On the Learn page, there are two different due dates for all of the written assignments, which one is the correct one?",Assignments are due on Mondays at 5:30 pm.  Where are these two different dates?
Today’s Tutorial Timeslot: I recall last term for our calculus tutorial timeslot we had an optional presentation on how to study effectively. Will something similar be happening for today’s tutorial or is there nothing happening? ,"There is nothing scheduled during tutorials during non-quiz weeks. 
There is nothing happening in today&#39;s tutorial time slot. (or any of the tutorial time slots when there isn&#39;t a quiz)"
"Can&#39;t see Mobius Feedback: <p>After submitting a practice, I click on the gradebook and it&#39;s empty. I&#39;ve tried clicking the load button, reloading and emptying cache and hard reloading, but to no avail.</p>
<p></p>
<p>Has anyone else encountered this problem? How can I access the gradebook marks?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdh2s3927me%2Fa88bd6aa64bdc47571b25032953b69a2bb9c1e037dd6d1936f660b8ea8033f57%2Fimage.png"" alt=""image.pngNaN"" /></p>","I was able to check my answer after submitting it and clicking &#34;view details&#34; on the bottom corner of the submition confirmation page
<p>It shouldn&#39;t be the case that you have to click through that many things to see solutions/feedback on a practice assessment.</p>
<p></p>
<p>You should now see a &#34;How did I do?&#34; button on the left side of the page to help speed things up!</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fjv2q5bsakc6y9%2F78df7f0bc0213fe4849c3a4a3ad3f41568a32b8bc879b2be4f56b3c588bdaf7c%2Fimage.png"" alt=""image.pngNaN"" width=""597"" height=""322"" /></p>
<p></p>
<p></p>
<p>Clicking that button reveals whether or not you got it right, along with the feedback</p>
<p></p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fjv2q5bsakc6y9%2F381238d2d10c60fee687c79b801d93cc9c31301ccfaa8348a19c8f405d4da68f%2Fimage.png"" alt=""image.pngNaN"" width=""571"" height=""520"" /></p>
<p></p>
<p>In what I can only describe as a surprise, $$\pi$$ was not the correct answer.</p>
<p>It shouldn&#39;t be the case that you have to click through that many things to see solutions/feedback on a practice assessment.</p>
<p></p>
<p>You should now see a &#34;How did I do?&#34; button on the left side of the page to help speed things up!</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fjv2q5bsakc6y9%2F78df7f0bc0213fe4849c3a4a3ad3f41568a32b8bc879b2be4f56b3c588bdaf7c%2Fimage.png"" alt=""image.pngNaN"" width=""597"" height=""322"" /></p>
<p></p>
<p></p>
<p>Clicking that button reveals whether or not you got it right, along with the feedback</p>
<p></p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fjv2q5bsakc6y9%2F381238d2d10c60fee687c79b801d93cc9c31301ccfaa8348a19c8f405d4da68f%2Fimage.png"" alt=""image.pngNaN"" width=""571"" height=""520"" /></p>"
"Question about cross product: <p>Our course notes only defined the cross product in R3, but I wonder can the cross product be performed in other dimensions such as R2 or R4?</p>
<p>Thank you</p>","<p>Recall that for $$\vec x, \vec y \in \mathbb R^3$$, $$\vec z := \vec x \times \vec y$$ satisfies:<br /><br /></p>
<p>a) $$\vec z \cdot \vec x = 0$$ and $$\vec z \cdot \vec y = 0$$<br />b) $$\vec y \times \vec x = -\vec z = -\vec x \times \vec y$$<br />b) if $$ \vec x, \vec y$$ are nonzero, then $$\|\vec z\| = \|\vec x \| \|\vec y\| \sin \theta$$ where $$\theta$$ is the angle between $$\vec x$$ and $$\vec y$$</p>
<p></p>
<p>Suppose we want to extend the cross product to other dimensions. In $$\mathbb R^2$$, suppose you have nonzero $$\vec x, \vec y \in \mathbb R^2$$ where $$\vec x$$, $$\vec y$$ are not collinear with the origin (imagine $$\vec x, \vec y$$ do not have the same direction up to positive or negative). It turns out that the only vector which is orthogonal to both $$\vec x$$ and $$\vec y$$ is the zero vector (I challenge you to think about why this might be the case and why it changes if $$\vec x, \vec y$$ are collinear with the origin). </p>
<p></p>
<p>In 3 dimensions, for nonzero vectors $$\vec x, \vec y$$ which are again not collinear with the origin, it turns out there is always exactly a line which is orthogonal to both $$\vec x, \vec y$$.</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkrvaikp4js87pd%2Feecfc644bf8621cb6fe1e61277dbfcafd61fe47703f21cfaeb68fa25c843c31f%2Fimage.png"" alt=""image.pngNaN"" /></p>
<p>Here, I&#39;ve drawn $$\vec x$$ and $$\vec y$$ as blue and red, on the axis to make it clear where they point. The pink line represents all vectors which are orthogonal to both $$\vec x$$ and $$\vec y$$.</p>
<p></p>
<p>If we want to fix the magnitude of this vector, you would be able to identify exactly two vectors on this line which have the right magnitude (one going in each direction of this line). Then comes in the right-hand rule, where we need to uniquely identify which of these two vectors we give to the cross product. This unique choice always satisfies the property of skew-symmetry (think about what $$\vec x \times \vec y$$ and $$-\vec x \times \vec y$$ each represent).</p>
<p></p>
<p>However, in more than 3 dimensions, there is no longer a line which is orthogonal to both $$\vec x$$ and $$\vec y$$ but rather a higher dimensional space: for instance, in 4 dimensions, there is a plane of vectors which are all orthogonal to both $$\vec x$$ and $$\vec y$$. By specifying a specific magnitude $$(\|\vec x\| \| \vec y\| \sin \theta$$), you could identify a &#34;disc&#34; of vectors on the plane with this magnitude. At this point, you would need a much more sophisticated rule to identify which vector on this disc you want to uniquely assign to the cross product, as there are now an infinite number of vectors on this disc, as opposed to the two options in 3 dimensions.</p>
<p></p>
<p>So, in general, the cross product tends to only be used in 3 dimensions.</p>
<p></p>
<p></p>
The short answer is that the cross product is only defined in $$\mathbb{R}^3$$.   If you want more thoughts on this you can read the student answer. "
"Mobius Practice: <p>Is this the Mobius practice everyone is referring to?</p>
<p></p>
<p><a href=""https://open.math.uwaterloo.ca/1"" target=""_blank"" rel=""noopener noreferrer"">https://open.math.uwaterloo.ca/1</a></p>
<p></p>
<p>Are we supposed to be doing this?</p>","No, this is something else. Reading these notes should be considered optional and not a part of our course. "
"Standard Basis for Rn: Just a question about Standard Basis, isn&#39;t it same as scalar multiplication and diagonalization?",Could you elaborate on your question? What do you mean by being the same?
"question about vector equality: in the lecture we learnt 2 method of justifying whether 2 vectors are equal. One of them is that if their direction and magnitude are the same, the vectors are the same. So I wondering whether [1 2]^T and [1 2 0]^T are equal to each other. ","<p>These two vectors are in different spaces. One is in $$\mathbb{R}^2$$ and one is in $$\mathbb{R}^3$$. A comparing law not defined unless more (embedding or equivalence) rules are introduced. For example, one cannot compare $$2\in \mathbb{R}$$ and $$\begin{bmatrix}2\\ 1 \end{bmatrix} \in \mathbb{R}^2$$.</p>
<p></p>
<p> </p>
<p>These two vectors are in different spaces. One is in $$\mathbb{R}^2$$ and one is in $$\mathbb{R}^3$$. A comparing law not defined unless more (embedding) rules are introduced. For example, one cannot compare $$2\in \mathbb{R}$$ and $$\begin{bmatrix}2\\ 1 \end{bmatrix} \in \mathbb{R}^2$$.</p>
<p></p>
<p> </p>
<p>These two vectors are in different spaces. One is in $$\mathbb{R}^2$$ and one is in $$\mathbb{R}^3$$. It is not defined unless more (embedding) rules are introduced. For example, one cannot compare $$2\in \mathbb{R}$$ and $$\begin{bmatrix}2\\ 1 \end{bmatrix} \in \mathbb{R}^2$$.</p>
<p></p>
<p> </p>"
"Quiz Practice Resources: <p>Hello!</p>
<p></p>
<p>I&#39;m just wondering if, in addition to the weekly Mobius and written practice problems, we will have something similar to a &#34;practice quiz&#34; in this course?</p>","No, there won&#39;t be practice quizzes."
